"","name","sds"
"2","V2",0.0596949367872444
"3","V2A",0.0603638230919877
"4","V3",0.108910602321864
"6","V5",0.0111958919941266
"7","V6",0.0125264684709091
"8","V7",0.0135646593542591
"9","V8",0.0110078005853201
"10","V9",0.0126644142754399
"11","V10",0.0115489410643732
"12","V11",0.0127554031743835
"24","V23",0.0353017360979808
"51","V49",0.0117933396713694
"52","V50",0.0133836190059371
"53","V51",0.0136390248953261
"54","V52",0.0127915979159203
"55","V53",0.0137355442473326
"56","V54",0.0133384813246026
"57","V55",0.0396791498099346
"58","V56",0.0251613680715393
"60","V57",0.0100994103893582
"61","V58",0.0147113788657392
"62","V59",0.0265488061414655
"63","V60",0.0119724017532788
"64","V61",0.0140395689551821
"65","V62",0.0131031970056983
"66","V63",0.0139194990920884
"67","V64",0.0121814601770673
"68","V65",0.0136692277724432
"73","V70",0.0146427240147386
"74","V71",0.0174752034115496
"75","V72",0.013948490790566
"76","V73",0.0158242946108284
"77","V74",0.0144229311357863
"78","V74B",0.0203660279656951
"79","V75",0.0150593994676169
"80","V76",0.0173179729255878
"81","V77",0.0144179785096512
"82","V78",0.0142055847030068
"83","V79",0.0143321681099363
"84","V80",0.0123906652111576
"88","V84",0.0133970365924813
"94","V90",0.0321106559209571
"96","V92",0.0404653969158839
"97","V93",0.0476391433693239
"99","V95",0.0314207716169822
"100","V96",0.021573642747131
"101","V97",0.024206412146039
"102","V98",0.0184544246635998
"103","V99",0.0168748088691677
"104","V100",0.0174469251579421
"105","V101",0.0284996625184398
"107","V103",0.0125229408526037
"108","V104",0.0123540506154623
"109","V105",0.0122878349491442
"110","V106",0.0131945029577839
"111","V107",0.0130753353258064
"112","V108",0.0134892753445307
"113","V109",0.0134182035849365
"114","V110",0.0129811129732853
"115","V111",0.0131006616184291
"116","V112",0.0137975718121067
"117","V113",0.0133469635752844
"118","V114",0.0134143880188789
"119","V115",0.0136255935852929
"120","V116",0.0132642929799911
"121","V117",0.0134291323073261
"122","V118",0.013320294450986
"123","V119",0.0128567258069866
"124","V120",0.0134348240652398
"125","V121",0.0134459546172391
"126","V122",0.0133289761917917
"127","V123",0.0138319434214037
"128","V124",0.0133901197118571
"129","V125_00",0.0292576484354375
"136","V125_07",0.0390669323602639
"137","V125_08",0.0377409457197272
"141","V125_12",0.0589841443251866
"147","V126",0.0141334069169148
"148","V127",0.0141435875965697
"149","V128",0.0136239114016002
"150","V129",0.013855827888855
"151","V130",0.0119514455932104
"152","V131",0.025952303128145
"153","V132",0.0174492896403209
"154","V133",0.0411383836729337
"155","V134",0.0318229456159128
"156","V135",0.0181825286767971
"157","V136",0.0369799093000417
"158","V137",0.0244285435488895
"159","V138",0.0248470689580111
"160","V139",0.0400917756959415
"161","V140",0.0584004267154417
"162","V141",0.0283228111547588
"163","V142",0.0130725910838903
"164","V143",0.0124289020928791
"165","V144",0.0561655039624254
"166","V145",0.0179250798958476
"167","V146",0.0161534276657997
"173","V152",0.033097372053801
"174","V153",0.0142624709310764
"175","V154",0.0143254374089517
"176","V155",0.0142879199649331
"177","V156",0.0135201868875931
"178","V157",0.0234006326715975
"179","V158",0.0433410735650896
"180","V159",0.0248318527124873
"181","V160",0.035595352629563
"182","V161",0.0150697148707613
"183","V162",0.0153288500881676
"184","V163",0.0161546172712538
"185","V164",0.0267818023160132
"186","V165",0.0133691756005258
"187","V166",0.0132343603364424
"188","V167",0.0124457063309696
"189","V168",0.0137875682919724
"190","V169",0.013805563565784
"191","V160A",0.0238112192195525
"192","V160B",0.0233173147951479
"193","V160C",0.0221093821422704
"194","V160D",0.0226890031053928
"195","V160E",0.0230220324025819
"196","V160F",0.0232876238483705
"197","V160G",0.0226778915407059
"198","V160H",0.0237815275677459
"199","V160I",0.02302934162149
"200","V160J",0.0235475999519114
"201","V170",0.0121466217945552
"202","V171",0.0127365302962988
"203","V172",0.0135915482930701
"204","V173",0.0114193423965607
"205","V174",0.011260553748008
"206","V175",0.012517881611138
"212","V181",0.0138539262999868
"213","V182",0.0133142570524374
"214","V183",0.0136095015856953
"215","V184",0.0133452402645622
"216","V185",0.0142095247750028
"217","V186",0.0142109751556085
"219","V188",0.011141896318189
"220","V189",0.011308332844004
"221","V190",0.0116769875898125
"222","V191",0.0128246884850567
"223","V192",0.0456088125164972
"224","V193",0.0473343799918205
"225","V194",0.0234386945853684
"226","V195",0.0237990036664574
"227","V196",0.0196933037007183
"228","V197",0.041102103216848
"229","V198",0.0125292745529091
"230","V199",0.012526560829201
"231","V200",0.00929806478060422
"232","V201",0.0115090213854308
"233","V202",0.00993968619811676
"234","V203",0.0124310482278648
"235","V203A",0.014093387765344
"236","V204",0.0136283410191706
"237","V205",0.0173337774671646
"238","V206",0.0165207446536298
"239","V207",0.0106636220801362
"240","V207A",0.0187097617957244
"241","V208",0.00994688758936671
"242","V209",0.0125629288089101
"243","V210",0.0101099872579482
"244","V211",0.0109711500428828
"245","V212",0.0130175485146345
"246","V213",0.0120538459163372
"247","V214",0.0103126300608993
"248","V215_01",0.0313292335992893
"257","V215_11",0.0384401445245814
"265","V216",0.013424103913131
"266","V217",0.0151799247941011
"267","V218",0.0171578138433414
"268","V219",0.00931833740763702
"269","V220",0.0143307470153723
"270","V221",0.014150973044821
"271","V222",0.0193030718625259
"272","V223",0.0167891893037653
"273","V224",0.0121818059843812
"282","V225",0.0123073043605615
"285","V228",0.192057197958655
"286","V228_2",0.102453013480756
"287","V228A",0.0173216756488791
"288","V228B",0.0177904736515597
"289","V228C",0.0179007274664075
"290","V228D",0.0183315327167851
"291","V228E",0.0171490589908822
"292","V228F",0.0177185795673568
"293","V228G",0.0183894597283471
"294","V228H",0.0171685182910622
"295","V228I",0.0174373442379089
"296","V228J",0.0141008542715105
"297","V228K",0.0134751769615235
"298","V229",0.0157205330375217
"299","V230",0.0134013844334161
"300","V231",0.0219777689085724
"301","V232",0.0210125147353365
"302","V233",0.0310036020405146
"306","V237",0.0130112196186699
"307","V238",0.0132429947289498
"308","V239",0.0212755916865888
"310","V241",0.0935582780350962
"311","V242",0.100672825777783
"318","V247",0.127681947704573
"319","V248",0.0244111348964482
"320","V248_CS",0.102177359144329
"321","V249",0.117673584033293
"325","V253",0.0219508472146248
"326","V253_CS",0.102178829407119
"327","V254",0.0569509726168591
"329","V256",0.101683346688093
"330","V256B",0.114350661884176
"331","V256C",0.114629091352753
"332","V256_MAP",0.0614239702719174
"333","V257",0.147632714248894
"334","V258",0.0671492591940588
"335","V258A",0.00669688067681088
"336","V260",0.013107039952498
"337","V261",0.0978009665659273
"338","V262",0.0134650157834223
"339","S024",0.0601338490926213
"340","S025",0.0600442462562264
"341","V265",0.126102364526173
"342","Y001",0.0143096447654704
"346","MN_163A",0.0454508739673638
"347","MN_163B",0.0458145675300301
"348","MN_163C",0.0453863528801699
"350","MN_228M",0.105204797442448
"351","MN_228N",0.105628783286023
"352","MN_228O",0.0972673621535198
"354","MN_228Q",0.0438389990875469
"356","MN_228S1",0.0428305379255783
"357","MN_228S2",0.042855102763584
"358","MN_228S3",0.0419551219639082
"359","MN_228S4",0.042969622307965
"360","MN_228S5",0.0461883854079909
"361","MN_228S6",0.0429167107637212
"362","MN_228S7",0.042401178853737
"363","MN_228S8",0.0431047999452444
"367","MN_233A",0.0504494383622702
"368","MN_233B",0.0518527229032382
"387","sacsecval",0.127197382590877
"388","secvalwgt",0.0277453978777349
"389","resemaval",0.0932455245259372
"392","I_NATIONALISM",0.0107078422585409
"393","I_DEVOUT",0.0116252079896351
"394","defiance",0.0273339972532639
"396","I_RELIGIMP",0.0127887005555843
"398","I_RELIGPRAC",0.0176696090930407
"399","disbelief",0.0240322509261379
"404","relativism",0.0810469334125532
"406","I_TRUSTARMY",0.0134575184402035
"407","I_TRUSTPOLICE",0.0130912131502252
"408","I_TRUSTCOURTS",0.0133955228659058
"409","scepticism",0.110362136518124
"414","autonomy",0.0677804700311434
"417","I_WOMPOL",0.0136411486585654
"418","I_WOMEDU",0.0131291360494196
"419","equality",0.151747380250151
"421","I_HOMOLIB",0.0123633578965201
"422","I_ABORTLIB",0.0133966258654375
"423","I_DIVORLIB",0.0173737161492048
"424","choice",0.0339051423939307
"426","I_VOICE1",0.0132882539581779
"428","I_VOI2_00",0.0180865882642332
"429","voice",0.0181926707517877
